Name,Country,Field of Expertise,IQ,Achievements,Birth Year,Gender,Notable Works,Awards,Education,Influence
Ada Lovelace,USA,Biology,145,Nuclear Reactor,1983,Male,A Brief History of Time,Royal Medal,Ph.D. in Physics,Pioneering research in radioactivity
Roger Penrose,Denmark,Physics,196,Theory of Relativity,1960,Female,Feynman Lectures,Nobel Prize,Self-taught,Unified theory of electromagnetism
Enrico Fermi,UK,Physics,192,Electromagnetic Theory,1921,Male,Fermi Paradox,Nobel Prize,Ph.D.,Inventor and electrical engineering pioneer
Charles Darwin,USA,Mathematics,157,"Mona Lisa, The Last Supper, Inventions",1997,Female,Penrose Diagram,N/A,Ph.D. in Astronomy,Pioneering research in radioactivity
Carl Sagan,France,Mathematics,137,General Theory of Relativity,1924,Female,On Computable Numbers,N/A,Ph.D. in Physics,Nuclear physics and reactor development
Galileo Galilei,UK,Physics,166,First computer algorithm,2000,Female,Cosmos,Nobel Prize,Ph.D. in Physics,Unified theory of electromagnetism
Marie Curie,USA,Mathematics,141,Theory of Relativity,1928,Male,Philosophiæ Naturalis Principia Mathematica,Pulitzer Prize,Ph.D. in Physics,Discovery of electromagnetic induction
Nikola Tesla,UK,Mathematics,178,Theory of Relativity,1920,Male,Notes on the Analytical Engine,N/A,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Alan Turing,UK,Biology,194,Cosmos Series,1910,Female,Notes on the Analytical Engine,Nobel Prize,Ph.D. in Physics,Pioneering research in radioactivity
Michael Faraday,USA,Physics,197,General Theory of Relativity,1997,Male,Discovery of Electromagnetic Induction,N/A,Ph.D. in Astronomy,Early pioneer of computer science
Albert Einstein,USA,Chemistry,139,Theory of Evolution,1995,Female,Cosmos,Nobel Prize,Ph.D.,Nuclear physics and reactor development
Paul Dirac,Italy,Physics,157,Discovery of Radium and Polonium,1919,Male,Feynman Lectures,Nobel Prize,Self-taught,Wave mechanics in quantum physics
James Clerk Maxwell,UK,Mathematics,139,Father of Computer Science,1911,Female,Research on radioactivity,N/A,Ph.D. in Physics,Popularizing science and cosmology
Alan Turing,UK,Astronomy,151,Laws of Motion,1958,Male,Feynman Lectures,N/A,Ph.D. in Physics,Unified theory of electromagnetism
Charles Darwin,USA,Mathematics,166,Theory of Relativity,1974,Male,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Penrose's work on black holes and cosmology
Galileo Galilei,Italy,Mathematics,171,Quantum Electrodynamics,1973,Male,Penrose Diagram,Numerous Honors,Ph.D. in Mathematics,Laid the groundwork for modern computing
James Clerk Maxwell,Austria,Astronomy,156,"Mona Lisa, The Last Supper, Inventions",1940,Male,Bohr Model,N/A,Ph.D.,Developed quantum theory
Alan Turing,UK,Physics,141,Heliocentric Theory,1950,Female,Schrödinger Equation,N/A,Ph.D. in Mathematics,Laid the groundwork for modern computing
Paul Dirac,Germany,Physics,199,Heliocentric Theory,1907,Female,Dirac Equation,Nobel Prize,Ph.D. (honorary),Inventor and electrical engineering pioneer
Albert Einstein,Germany,Physics,189,Electromagnetic Theory,1973,Female,On the Origin of Species,Two Nobel Prizes,Self-taught,Inventor and electrical engineering pioneer
James Clerk Maxwell,Italy,Biology,167,Laws of Motion,1990,Female,Notes on the Analytical Engine,Nobel Prize,Self-taught,Unified theory of electromagnetism
Alan Turing,UK,Chemistry,190,Electromagnetic Induction,1929,Female,Notes on the Analytical Engine,Nobel Prize,Ph.D. in Physics,Laid the groundwork for modern computing
Stephen Hawking,UK,Chemistry,132,First computer algorithm,1941,Female,On the Origin of Species,N/A,Ph.D.,Foundation of classical mechanics
Galileo Galilei,USA,Astronomy,196,Discovery of Radium and Polonium,1969,Male,Theory of Electromagnetism,Pulitzer Prize,University of Pisa,Penrose's work on black holes and cosmology
Charles Darwin,Denmark,Astronomy,170,Electromagnetic Induction,1948,Female,Discovery of Electromagnetic Induction,Pulitzer Prize,Ph.D. in Physics,Foundation of classical mechanics
Stephen Hawking,USA,Mathematics,175,"Mona Lisa, The Last Supper, Inventions",1925,Male,On Computable Numbers,Nobel Prize,Ph.D. in Physics,Discovery of electromagnetic induction
Marie Curie,UK,Mathematics,195,Wave Equation,1910,Male,Discovery of Electromagnetic Induction,Numerous Honors,University of Pisa,Unified theory of electromagnetism
Paul Dirac,USA,Physics,175,Laws of Motion,1918,Female,Philosophiæ Naturalis Principia Mathematica,Copley Medal,Ph.D. in Physics,Iconic Renaissance artist and inventor
Marie Curie,UK,Mathematics,165,Nuclear Reactor,1922,Male,Various Patents,Nobel Prize,University of Cambridge,Iconic Renaissance artist and inventor
Ada Lovelace,UK,Physics,137,Father of Computer Science,1952,Female,A Brief History of Time,Nobel Prize,Self-taught,Unified theory of electromagnetism
Marie Curie,USA,Physics,191,"Mona Lisa, The Last Supper, Inventions",1979,Male,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Self-taught,Foundational work in quantum mechanics
Charles Darwin,UK,Chemistry,158,Electromagnetic Induction,1959,Male,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Ada Lovelace,UK,Physics,200,Theory of Evolution,1982,Female,On the Origin of Species,Royal Medal,Ph.D. in Chemistry,Foundation of classical mechanics
Alan Turing,UK,Physics,157,"Mona Lisa, The Last Supper, Inventions",1981,Male,Cosmos,N/A,Ph.D. in Mathematics,Penrose's work on black holes and cosmology
Isaac Newton,Denmark,Physics,154,Theory of Evolution,1996,Female,E=mc²,N/A,Ph.D. in Chemistry,Nuclear physics and reactor development
James Clerk Maxwell,UK,Astronomy,200,Wave Equation,1958,Female,E=mc²,Royal Medal,Ph.D. in Physics,Developed quantum theory
Nikola Tesla,UK,Physics,171,Theory of Evolution,1997,Female,Penrose Diagram,Pulitzer Prize,Ph.D. in Physics,Laid the groundwork for modern computing
Charles Darwin,Denmark,Mathematics,174,First computer algorithm,1948,Male,Penrose Diagram,Nobel Prize,Ph.D. in Astronomy,Foundation of classical mechanics
Albert Einstein,Italy,Astronomy,174,Theory of Relativity,1949,Female,On the Origin of Species,Two Nobel Prizes,Ph.D. in Astronomy,Revolutionized modern physics
Marie Curie,Germany,Polymath,134,Cosmos Series,1989,Female,Penrose Diagram,N/A,Self-taught,Contributions to cosmology and quantum gravity
Nikola Tesla,UK,Astronomy,179,Father of Computer Science,1980,Female,Quantum Theory,Copley Medal,Ph.D. in Physics,Popularizing science and cosmology
Ada Lovelace,UK,Physics,157,Laws of Motion,1908,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Galileo Galilei,UK,Physics,169,Theory of Evolution,1993,Male,Discovery of Electromagnetic Induction,N/A,Ph.D. in Physics,Evolutionary biology pioneer
Richard Feynman,Italy,Chemistry,200,Electromagnetic Induction,1939,Female,Penrose Diagram,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Albert Einstein,Italy,Mathematics,147,Black Hole Theory,1950,Male,Fermi Paradox,N/A,Ph.D. in Chemistry,Foundation of classical mechanics
Erwin Schrödinger,Italy,Engineering,145,Father of Computer Science,1904,Male,Schrödinger Equation,Two Nobel Prizes,Ph.D. in Physics,Wave mechanics in quantum physics
Paul Dirac,UK,Physics,157,First computer algorithm,1960,Female,Cosmos,Numerous Honors,Ph.D. in Physics,Nuclear physics and reactor development
Niels Bohr,UK,Biology,163,Theory of Evolution,1977,Female,Schrödinger Equation,Nobel Prize,Ph.D. (honorary),Evolutionary biology pioneer
James Clerk Maxwell,Italy,Physics,155,Laws of Motion,1991,Male,Various Patents,Nobel Prize,Ph.D. in Mathematics,Foundational work in quantum mechanics
Erwin Schrödinger,UK,Chemistry,148,First computer algorithm,1914,Male,A Brief History of Time,Two Nobel Prizes,Ph.D. in Astronomy,Revolutionized modern physics
Isaac Newton,UK,Physics,136,Black Hole Theory,1949,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Self-taught,Quantum electrodynamics and physics teaching
Niels Bohr,France,Engineering,157,Cosmos Series,1904,Female,Quantum Theory,Two Nobel Prizes,Self-taught,Contributions to cosmology and quantum gravity
Nikola Tesla,USA,Engineering,145,Father of Computer Science,1953,Male,A Brief History of Time,Nobel Prize,Ph.D. (honorary),Contributions to cosmology and quantum gravity
Richard Feynman,UK,Physics,186,Laws of Motion,1987,Female,On Computable Numbers,Nobel Prize,Ph.D. in Physics,Wave mechanics in quantum physics
Alan Turing,UK,Physics,156,"AC Electricity, Tesla Coil",1949,Female,Discovery of Electromagnetic Induction,N/A,Ph.D. in Physics,Major advancements in astronomy
Stephen Hawking,Italy,Engineering,189,Nuclear Reactor,1990,Male,Notes on the Analytical Engine,Nobel Prize,Ph.D. in Astronomy,Revolutionized modern physics
Galileo Galilei,UK,Astronomy,188,Discovery of Radium and Polonium,1989,Female,Dirac Equation,N/A,Ph.D. in Chemistry,Quantum electrodynamics and physics teaching
Roger Penrose,UK,Astronomy,192,Electromagnetic Theory,1949,Male,A Brief History of Time,N/A,Ph.D. in Chemistry,Inventor and electrical engineering pioneer
Richard Feynman,USA,Mathematics,134,Quantum Mechanics,1982,Female,Vitruvian Man,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
Niels Bohr,Italy,Physics,161,Quantum Theory,1951,Male,Discovery of Electromagnetic Induction,N/A,Ph.D. in Physics,Foundational work in quantum mechanics
Michael Faraday,Austria,Biology,176,Quantum Mechanics,1939,Female,E=mc²,Nobel Prize,Ph.D. in Chemistry,Developed quantum theory
Niels Bohr,UK,Physics,136,Quantum Mechanics,1979,Male,A Brief History of Time,N/A,Self-taught,Popularizing science and cosmology
Galileo Galilei,Italy,Chemistry,197,Nuclear Reactor,2000,Female,Theory of Electromagnetism,N/A,Ph.D. in Physics,Discovery of electromagnetic induction
Enrico Fermi,Denmark,Polymath,199,Father of Computer Science,1997,Female,Bohr Model,Two Nobel Prizes,Ph.D. in Physics,Laid the groundwork for modern computing
Ada Lovelace,UK,Astronomy,169,Quantum Theory,1911,Male,Penrose Diagram,Two Nobel Prizes,Ph.D. in Physics,Discovery of electromagnetic induction
Enrico Fermi,UK,Physics,187,Quantum Electrodynamics,1939,Female,Fermi Paradox,Two Nobel Prizes,Ph.D. in Astronomy,Laid the groundwork for modern computing
Galileo Galilei,UK,Physics,132,Electromagnetic Theory,1981,Male,Fermi Paradox,N/A,Ph.D. (honorary),Developed quantum theory
Nikola Tesla,Denmark,Mathematics,154,Theory of Evolution,1965,Male,A Brief History of Time,Royal Medal,Ph.D. in Physics,Foundational work in quantum mechanics
James Clerk Maxwell,UK,Physics,159,Theory of Relativity,1981,Female,Theory of Electromagnetism,Numerous Posthumous,University of Cambridge,Developed quantum theory
Stephen Hawking,Italy,Mathematics,194,General Theory of Relativity,1973,Male,On the Origin of Species,Nobel Prize,Self-taught,Penrose's work on black holes and cosmology
Michael Faraday,Austria,Biology,185,Black Hole Theory,1946,Female,Dialogue Concerning the Two Chief World Systems,Pulitzer Prize,Ph.D. in Astronomy,Laid the groundwork for modern computing
Michael Faraday,UK,Physics,193,First computer algorithm,1997,Female,E=mc²,Nobel Prize,Self-taught,Foundation of classical mechanics
Max Planck,Germany,Physics,195,Wave Equation,1939,Male,Fermi Paradox,Nobel Prize,Ph.D.,Evolutionary biology pioneer
Max Planck,Italy,Physics,147,"Mona Lisa, The Last Supper, Inventions",1992,Male,On Computable Numbers,N/A,Ph.D. (honorary),Wave mechanics in quantum physics
Niels Bohr,USA,Physics,188,Electromagnetic Theory,1917,Male,Penrose Diagram,Nobel Prize,Ph.D. in Physics,Popularizing science and cosmology
Enrico Fermi,France,Chemistry,151,Theory of Relativity,1959,Male,On Computable Numbers,Nobel Prize,Ph.D. in Mathematics,Inventor and electrical engineering pioneer
Max Planck,Italy,Physics,183,Quantum Theory,1909,Male,Theory of Electromagnetism,Numerous Posthumous,Self-taught,Revolutionized modern physics
Carl Sagan,USA,Mathematics,144,Theory of Relativity,1976,Male,Quantum Theory,Nobel Prize,Ph.D. in Physics,Popularizing science and cosmology
Ada Lovelace,UK,Mathematics,138,Electromagnetic Theory,1964,Female,Feynman Lectures,Nobel Prize,Ph.D. in Astronomy,Contributions to cosmology and quantum gravity
Roger Penrose,USA,Mathematics,132,Nuclear Reactor,1984,Female,Various Patents,Numerous Honors,Ph.D. (honorary),Iconic Renaissance artist and inventor
Richard Feynman,UK,Physics,199,Heliocentric Theory,1990,Male,Vitruvian Man,Nobel Prize,Self-taught,Penrose's work on black holes and cosmology
Alan Turing,UK,Chemistry,178,Father of Computer Science,1945,Male,Philosophiæ Naturalis Principia Mathematica,Numerous Honors,Self-taught,Revolutionized modern physics
Carl Sagan,USA,Engineering,160,Discovery of Radium and Polonium,1954,Male,Discovery of Electromagnetic Induction,Copley Medal,Ph.D. in Astronomy,Inventor and electrical engineering pioneer
Carl Sagan,UK,Biology,151,Quantum Theory,1918,Male,On the Origin of Species,Nobel Prize,Ph.D. in Chemistry,Discovery of electromagnetic induction
Paul Dirac,Italy,Mathematics,132,Heliocentric Theory,1952,Female,E=mc²,Two Nobel Prizes,Ph.D. in Physics,Major advancements in astronomy
Marie Curie,UK,Polymath,138,Wave Equation,1995,Female,Bohr Model,Nobel Prize,Ph.D. in Mathematics,Iconic Renaissance artist and inventor
Richard Feynman,UK,Polymath,168,Father of Computer Science,1980,Female,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Unified theory of electromagnetism
Alan Turing,UK,Astronomy,140,Theory of Evolution,1968,Female,Research on radioactivity,Royal Medal,Ph.D. in Physics,Wave mechanics in quantum physics
Galileo Galilei,UK,Physics,166,Heliocentric Theory,1926,Female,Bohr Model,N/A,Ph.D. in Physics,Revolutionized modern physics
Niels Bohr,UK,Physics,131,Theory of Relativity,1954,Female,Feynman Lectures,Numerous Posthumous,Ph.D.,Contributions to cosmology and quantum gravity
Charles Darwin,Denmark,Physics,161,Quantum Theory,1903,Female,Schrödinger Equation,Nobel Prize,Ph.D. in Chemistry,Foundation of classical mechanics
Albert Einstein,USA,Astronomy,162,Theory of Evolution,1997,Male,Quantum Theory,N/A,Self-taught,Foundation of classical mechanics
Galileo Galilei,Italy,Engineering,131,Nuclear Reactor,1958,Male,Cosmos,Pulitzer Prize,Ph.D. in Physics,Pioneering research in radioactivity
Ada Lovelace,UK,Chemistry,171,Theory of Relativity,1946,Male,Discovery of Electromagnetic Induction,Royal Medal,Ph.D. in Chemistry,Pioneering research in radioactivity
Stephen Hawking,USA,Physics,177,"AC Electricity, Tesla Coil",1984,Male,Feynman Lectures,Numerous Honors,Ph.D. (honorary),Developed quantum theory
Marie Curie,Italy,Chemistry,143,"Mona Lisa, The Last Supper, Inventions",1916,Female,Bohr Model,Royal Medal,Ph.D. in Physics,Discovery of electromagnetic induction
Enrico Fermi,UK,Physics,170,Black Hole Theory,1976,Male,Notes on the Analytical Engine,Nobel Prize,Self-taught,Early pioneer of computer science
Stephen Hawking,UK,Physics,187,Black Hole Theory,1999,Male,Philosophiæ Naturalis Principia Mathematica,N/A,Ph.D. in Physics,Major advancements in astronomy
Enrico Fermi,UK,Physics,167,Electromagnetic Theory,1940,Female,Feynman Lectures,N/A,Ph.D. in Physics,Developed quantum theory
Carl Sagan,Austria,Physics,141,Wave Equation,1996,Female,E=mc²,Numerous Honors,Ph.D. in Physics,Developed quantum theory
Stephen Hawking,Italy,Physics,143,Laws of Motion,1989,Female,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Mathematics,Major advancements in astronomy
Paul Dirac,Italy,Physics,200,Quantum Mechanics,1938,Male,On the Origin of Species,Copley Medal,Ph.D. in Mathematics,Evolutionary biology pioneer
Alan Turing,USA,Mathematics,156,Theory of Relativity,1970,Female,Quantum Theory,N/A,University of Pisa,Pioneering research in radioactivity
Paul Dirac,Denmark,Astronomy,199,Quantum Electrodynamics,1936,Female,Bohr Model,N/A,Ph.D. in Physics,Evolutionary biology pioneer
Albert Einstein,Germany,Physics,163,Nuclear Reactor,1944,Male,Schrödinger Equation,Nobel Prize,Ph.D. in Physics,Developed quantum theory
Leonardo da Vinci,UK,Engineering,175,Father of Computer Science,1991,Male,E=mc²,Nobel Prize,Ph.D. in Mathematics,Laid the groundwork for modern computing
Alan Turing,USA,Engineering,136,Discovery of Radium and Polonium,1953,Male,Discovery of Electromagnetic Induction,Pulitzer Prize,Self-taught,Contributions to cosmology and quantum gravity
Niels Bohr,UK,Physics,132,Theory of Evolution,1989,Female,On the Origin of Species,Numerous Posthumous,Ph.D. in Physics,Unified theory of electromagnetism
Ada Lovelace,Italy,Physics,189,"AC Electricity, Tesla Coil",1954,Female,Cosmos,Nobel Prize,Ph.D. in Physics,Discovery of electromagnetic induction
James Clerk Maxwell,UK,Chemistry,154,General Theory of Relativity,1908,Female,Philosophiæ Naturalis Principia Mathematica,N/A,Ph.D. in Physics,Foundation of classical mechanics
Stephen Hawking,USA,Mathematics,189,Quantum Mechanics,1948,Male,Various Patents,N/A,Ph.D. in Physics,Pioneering research in radioactivity
Nikola Tesla,USA,Mathematics,195,Quantum Theory,1945,Female,E=mc²,Nobel Prize,University of Pisa,Iconic Renaissance artist and inventor
Nikola Tesla,USA,Chemistry,149,General Theory of Relativity,1932,Female,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Self-taught,Early pioneer of computer science
Isaac Newton,UK,Physics,156,Quantum Mechanics,1964,Female,Schrödinger Equation,Nobel Prize,University of Pisa,Nuclear physics and reactor development
Albert Einstein,USA,Chemistry,197,Father of Computer Science,1919,Female,On the Origin of Species,Nobel Prize,Ph.D. in Physics,Laid the groundwork for modern computing
Michael Faraday,UK,Mathematics,135,Father of Computer Science,1969,Male,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. in Physics,Penrose's work on black holes and cosmology
Galileo Galilei,Austria,Physics,180,Quantum Mechanics,1910,Male,Feynman Lectures,N/A,University of Cambridge,Unified theory of electromagnetism
Enrico Fermi,UK,Physics,161,Quantum Mechanics,1906,Male,Research on radioactivity,N/A,Ph.D. in Physics,Pioneering research in radioactivity
Isaac Newton,Italy,Physics,162,Quantum Theory,1949,Male,Schrödinger Equation,Nobel Prize,Ph.D. in Chemistry,Laid the groundwork for modern computing
Max Planck,Austria,Physics,169,Cosmos Series,1982,Female,Quantum Theory,Numerous Honors,Self-taught,Developed quantum theory
Erwin Schrödinger,USA,Mathematics,137,Quantum Mechanics,1947,Male,Various Patents,Pulitzer Prize,Ph.D.,Developed quantum theory
Charles Darwin,France,Mathematics,199,"AC Electricity, Tesla Coil",1928,Male,Penrose Diagram,Nobel Prize,Ph.D. in Physics,Developed quantum theory
Charles Darwin,Germany,Physics,196,Quantum Electrodynamics,1959,Male,E=mc²,Two Nobel Prizes,Ph.D. (honorary),Developed quantum theory
Ada Lovelace,France,Chemistry,185,General Theory of Relativity,1920,Female,Fermi Paradox,Nobel Prize,Ph.D. in Physics,Pioneering research in radioactivity
Ada Lovelace,USA,Engineering,145,Electromagnetic Induction,1949,Male,Notes on the Analytical Engine,Nobel Prize,Ph.D. in Chemistry,Developed quantum theory
Roger Penrose,Italy,Mathematics,181,Theory of Evolution,1955,Male,Cosmos,Numerous Honors,Ph.D. in Physics,Wave mechanics in quantum physics
Nikola Tesla,Italy,Mathematics,153,Heliocentric Theory,1995,Female,Notes on the Analytical Engine,N/A,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Charles Darwin,France,Chemistry,138,Theory of Evolution,1969,Female,Dirac Equation,Two Nobel Prizes,Ph.D. in Physics,Penrose's work on black holes and cosmology
Niels Bohr,USA,Physics,171,"Mona Lisa, The Last Supper, Inventions",1997,Female,Discovery of Electromagnetic Induction,Numerous Honors,Ph.D. in Mathematics,Unified theory of electromagnetism
Leonardo da Vinci,UK,Biology,165,Theory of Relativity,1980,Female,Notes on the Analytical Engine,Numerous Honors,Ph.D. (honorary),Iconic Renaissance artist and inventor
Richard Feynman,USA,Physics,165,Quantum Electrodynamics,1977,Female,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Mathematics,Foundational work in quantum mechanics
Michael Faraday,UK,Mathematics,130,Father of Computer Science,1991,Female,Bohr Model,N/A,Ph.D. in Mathematics,Foundational work in quantum mechanics
Alan Turing,USA,Astronomy,137,"AC Electricity, Tesla Coil",1920,Male,On the Origin of Species,N/A,Ph.D. in Physics,Developed quantum theory
Richard Feynman,UK,Chemistry,159,"Mona Lisa, The Last Supper, Inventions",1910,Male,Penrose Diagram,N/A,Self-taught,Contributions to cosmology and quantum gravity
Roger Penrose,UK,Physics,152,Quantum Mechanics,1984,Male,On Computable Numbers,Nobel Prize,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Carl Sagan,USA,Physics,130,Theory of Relativity,1962,Male,On Computable Numbers,Nobel Prize,University of Pisa,Quantum electrodynamics and physics teaching
Niels Bohr,USA,Physics,151,Quantum Mechanics,1968,Male,Research on radioactivity,Pulitzer Prize,Ph.D. in Astronomy,Wave mechanics in quantum physics
Carl Sagan,USA,Mathematics,150,Quantum Electrodynamics,1957,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Self-taught,Penrose's work on black holes and cosmology
Charles Darwin,Austria,Physics,186,First computer algorithm,1930,Female,Theory of Electromagnetism,Nobel Prize,Ph.D. in Physics,Early pioneer of computer science
Carl Sagan,UK,Astronomy,195,Theory of Evolution,1982,Male,Vitruvian Man,Nobel Prize,Ph.D. in Mathematics,Discovery of electromagnetic induction
Roger Penrose,UK,Mathematics,191,Father of Computer Science,1952,Female,Fermi Paradox,Nobel Prize,Ph.D. in Mathematics,Foundational work in quantum mechanics
Leonardo da Vinci,UK,Engineering,136,Nuclear Reactor,1987,Male,On Computable Numbers,Numerous Posthumous,Self-taught,Foundational work in quantum mechanics
Ada Lovelace,Italy,Physics,137,Father of Computer Science,1952,Male,Discovery of Electromagnetic Induction,Numerous Honors,Self-taught,Foundation of classical mechanics
Enrico Fermi,UK,Physics,192,Theory of Relativity,1942,Male,Feynman Lectures,Nobel Prize,Ph.D. (honorary),Foundational work in quantum mechanics
Stephen Hawking,USA,Physics,143,Quantum Theory,1982,Male,On Computable Numbers,Nobel Prize,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Albert Einstein,UK,Physics,139,Nuclear Reactor,1973,Male,A Brief History of Time,Copley Medal,Ph.D. in Chemistry,Quantum electrodynamics and physics teaching
Michael Faraday,UK,Physics,149,Quantum Mechanics,1907,Male,Bohr Model,N/A,Ph.D. in Physics,Discovery of electromagnetic induction
Ada Lovelace,UK,Mathematics,135,"Mona Lisa, The Last Supper, Inventions",1936,Male,Discovery of Electromagnetic Induction,N/A,Self-taught,Early pioneer of computer science
Stephen Hawking,UK,Physics,189,Wave Equation,1912,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. in Physics,Revolutionized modern physics
Michael Faraday,Italy,Physics,130,Quantum Theory,1906,Female,Research on radioactivity,Numerous Posthumous,Ph.D. in Mathematics,Wave mechanics in quantum physics
Albert Einstein,Italy,Physics,189,Wave Equation,1908,Female,Vitruvian Man,Nobel Prize,Ph.D. (honorary),Evolutionary biology pioneer
Alan Turing,USA,Biology,133,"AC Electricity, Tesla Coil",1958,Female,Feynman Lectures,N/A,Ph.D. in Physics,Pioneering research in radioactivity
Michael Faraday,UK,Engineering,179,Quantum Theory,1927,Male,Dirac Equation,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Nikola Tesla,Denmark,Mathematics,156,Discovery of Radium and Polonium,1919,Male,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Chemistry,Revolutionized modern physics
Marie Curie,France,Mathematics,160,Laws of Motion,1969,Male,Theory of Electromagnetism,Pulitzer Prize,University of Pisa,Nuclear physics and reactor development
Niels Bohr,USA,Physics,159,First computer algorithm,1918,Female,Quantum Theory,Nobel Prize,Ph.D. in Mathematics,Wave mechanics in quantum physics
Galileo Galilei,UK,Chemistry,164,Cosmos Series,1909,Male,Quantum Theory,Nobel Prize,Ph.D. in Physics,Iconic Renaissance artist and inventor
Charles Darwin,UK,Physics,200,"Mona Lisa, The Last Supper, Inventions",1908,Male,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Physics,Inventor and electrical engineering pioneer
James Clerk Maxwell,USA,Biology,166,General Theory of Relativity,1928,Female,Feynman Lectures,Nobel Prize,Self-taught,Discovery of electromagnetic induction
Richard Feynman,UK,Mathematics,151,Heliocentric Theory,1944,Male,Research on radioactivity,Numerous Honors,Ph.D. in Physics,Unified theory of electromagnetism
Erwin Schrödinger,Germany,Physics,148,Quantum Mechanics,1906,Male,Philosophiæ Naturalis Principia Mathematica,N/A,Ph.D. (honorary),Major advancements in astronomy
Carl Sagan,UK,Mathematics,177,Nuclear Reactor,1992,Male,On Computable Numbers,Nobel Prize,Ph.D. in Mathematics,Unified theory of electromagnetism
Paul Dirac,UK,Mathematics,197,"AC Electricity, Tesla Coil",1951,Male,Penrose Diagram,Nobel Prize,Ph.D. in Physics,Nuclear physics and reactor development
Niels Bohr,Italy,Physics,172,Quantum Theory,1956,Male,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Chemistry,Foundation of classical mechanics
Charles Darwin,UK,Physics,162,Father of Computer Science,1992,Male,Discovery of Electromagnetic Induction,Nobel Prize,Self-taught,Revolutionized modern physics
Max Planck,Austria,Physics,159,Quantum Mechanics,1976,Male,A Brief History of Time,Two Nobel Prizes,Ph.D. (honorary),Inventor and electrical engineering pioneer
Max Planck,UK,Mathematics,143,Theory of Evolution,1973,Male,Notes on the Analytical Engine,Numerous Honors,Ph.D. in Physics,Foundation of classical mechanics
Ada Lovelace,USA,Physics,181,Cosmos Series,1962,Female,Bohr Model,Two Nobel Prizes,Ph.D. in Chemistry,Discovery of electromagnetic induction
Isaac Newton,Austria,Physics,172,Nuclear Reactor,1901,Female,On the Origin of Species,Royal Medal,Ph.D. in Physics,Foundational work in quantum mechanics
Isaac Newton,UK,Mathematics,200,General Theory of Relativity,1926,Female,Cosmos,Numerous Posthumous,Ph.D. in Mathematics,Laid the groundwork for modern computing
Erwin Schrödinger,UK,Chemistry,179,General Theory of Relativity,1997,Male,Theory of Electromagnetism,Nobel Prize,Ph.D. in Physics,Major advancements in astronomy
Roger Penrose,USA,Physics,168,General Theory of Relativity,1995,Female,Dirac Equation,Copley Medal,Ph.D. in Chemistry,Wave mechanics in quantum physics
Enrico Fermi,USA,Engineering,133,Nuclear Reactor,1971,Male,Fermi Paradox,Copley Medal,Ph.D. in Physics,Pioneering research in radioactivity
Erwin Schrödinger,USA,Mathematics,176,Theory of Relativity,1989,Female,Various Patents,Numerous Posthumous,Ph.D. in Physics,Foundational work in quantum mechanics
Niels Bohr,USA,Engineering,132,Father of Computer Science,1985,Male,Quantum Theory,Nobel Prize,Ph.D.,Evolutionary biology pioneer
Isaac Newton,UK,Astronomy,146,Wave Equation,1904,Male,E=mc²,Nobel Prize,Ph.D. in Physics,Foundation of classical mechanics
Michael Faraday,Italy,Mathematics,194,Wave Equation,1927,Female,Feynman Lectures,Nobel Prize,University of Pisa,Revolutionized modern physics
Michael Faraday,UK,Physics,180,Heliocentric Theory,1951,Male,Research on radioactivity,Nobel Prize,Self-taught,Iconic Renaissance artist and inventor
Ada Lovelace,USA,Mathematics,146,Quantum Mechanics,1987,Female,Vitruvian Man,Numerous Posthumous,Self-taught,Foundational work in quantum mechanics
Richard Feynman,France,Physics,140,Theory of Evolution,1949,Female,On the Origin of Species,Pulitzer Prize,Self-taught,Evolutionary biology pioneer
Roger Penrose,Denmark,Physics,194,Theory of Evolution,1978,Male,Notes on the Analytical Engine,Pulitzer Prize,Self-taught,Iconic Renaissance artist and inventor
Carl Sagan,USA,Physics,140,Father of Computer Science,1941,Female,E=mc²,N/A,Ph.D. in Physics,Pioneering research in radioactivity
